name,price,status,shipping,free_returns,items_sold
Sonos Ace Soft White Noise Cancelling - Wireless Over Ear Headphones,19999,Brand New,0,False,
Wireless Headphones Bluetooth Noise Cancelling Stereo Earphones Over Ear Headset,1499,Brand New,1637,True,
Soundcore P30i Wireless Earbuds 2-in-1 Case Phone Stand Smart Noise Cancelling,2199,Certified - Refurbished,4999,True,527 sold
NEW Skullcandy Crusher Evo Wireless Bluetooth Over Ear Headphones Midnight Blue,8999,Brand New,0,True,
"soundcore P31i Wireless Earbuds – Hi-Res Audio, Adaptive Noise Cancelling–White",4999,Brand New,,False,
JLab Epic ANC Wireless Noise Cancelling InEar Headphones Bluetooth Black Earbuds,1499,Brand New,0,False,64 sold
Bose QuietComfort 3 QC3 Noise Cancelling Wired On Ear Headphones FREE S/H,2499,Pre-Owned,0,False,
Sennheiser ACCENTUM Wireless ANC Bluetooth Headphones 50H White,6500,Brand New,683,False,
Genuine Sony WH-1000XM5 Wireless Noise Canceling Headphones - Black,13856,Pre-Owned,14899,True,84 sold
Insignia Noise-Reduction Wireless Bluetooth Behind-the-Neck Headphones - Black,3399,Open Box,0,True,
JBL Tune 660NC Wireless On-Ear Headphones with Active Noise - NEW- JBLT660NCBLKA,4399,Brand New,965,True,
Bose QuietComfort Wireless Noise Cancelling Headphones - Black SEE DETAILS,11699,Pre-Owned,0,False,
Soundcore P40i Wireless Earbuds Noise Cancelling 2-in-1 Phone Stand Case|Refurb,3599,Certified - Refurbished,6998,True,254 sold
JBL Endurance Run2 Wired Headphones with Microphone - Black,1975,Brand New,0,True,
Sony WF-C510 Truly Wireless BLUETOOTH Earbuds -  wfc510 BLACK,3622,Open Box,3895,True,148 sold
Soundcore Space One Wireless Over-Ear Headphones 40H ANC Playtime | Refurbished,6399,Certified - Refurbished,9999,True,297 sold
New JBL Tune 770NC Adaptive Noise Cancelling Wireless Over-Ear Headphones Black,7998,Brand New,0,True,
Microsoft Surface Headphones 2 Wireless Bluetooth Noise-Cancelling Black,7998,Pre-Owned,799,True,
Genuine Sony WH-1000XM5 Wireless Noise Canceling Bluetooth Headphones Refurbed,13949,Open Box,14999,True,27+ sold
SONY WH-1000XM4 Wireless Noise Canceling Over-Ear Headphones Silver,21999,Brand New,885,False,
Skullcandy Crusher Evo  Wireless - Midnight Blue-(Certified Refurbished),7998,Certified - Refurbished,19999,True,143 sold
Sennheiser MOMENTUM 4 Wireless Headphones ANC Denim Blue - Free shipping,12999,Pre-Owned,0,False,
"New ListingSKULLCANDY METHOD 360 ANC WIRELESS EARBUDS, SOUND BY BOSE - WHITE",6995,Brand New,693,False,
True Wireless Earbuds Active Noise Cancelling - heyday - Translucent Matcha NEW,846,Brand New,994,True,
Sony WH-CH520 Over Ear Wireless Bluetooth Headphones  WHCH520 - BEIGE,2965,Open Box,3188,True,89 sold
New ListingSony YY2951 Wireless Noise Canceling Ear-Cup Over The Ear Headphones With Case,3999,Pre-Owned,0,False,
