name,price,status,shipping,free_returns,items_sold
"Avia 880 Men’s Basketball Shoes, High Top Retro Sneakers for Indoor or Outdoor",6840,US M 11 + more,7200,False,30+ sold
0nītsuka Tiger MEXīC0 66 1183C102 Casual Sneakers Unisex Size mens womens shoes,6592,US M 8.5 + more,0,False,
Nike Shox NZ Men's Shoes Black White Varsity Red 378341 017,8499,US M 11 + more,1495,True,
PUMA Ca Pro Classic Lace Up  Mens Black Sneakers Casual Shoes 38019002,2995,US M 4 + more,8000,True,
NEW SHOES NIKE AIR GENOME WHITE   DB249 100,8900,US M 10 + more,1495,True,
New NIKE Air Max Men's classic Athletic Sneakers shoes white black all sizes,9995,US M 9 + more,994,False,21+ sold
Palm Angels Palm 1 Hightop Black Strapped Sneakers Size 41 (8M),24999,Palm Angels,1273,False,
Nike ZoomX Zegama Trail 2 Red Stardust Alabaster NEW Women’s Size 6.5,8999,US W 6.5,1495,False,
UGG SALE !!!!Size8US/EU40.5 white BROCK LUXE LEATHER WATERPROOF low top,2500,US M 8,1099,False,
Nike Dunk High Retro Size 10 Black/White,14599,Nike Dunk,1495,False,
Nike Air Jordan 4 Retro 'Lakers' Jordan 4  AJ4 Imperial Purple FV5029-500 Men's,23800,US M 10.5 + more,1495,False,
Nike Air Max Goadome Low SP Taupe / University Red - Black IU5915-200 Men's Size,20000,US M 8 + more,1495,False,
Air Jordan 11 Retro 'China' IM8352-670,23900,US M 9.5 + more,1495,False,
adidas women X_PLR Path Shoes,3900,US W 10.5 + more,6500,True,
Nike AIR MONARCH IV Men's Black 001 Walking Shoes Medium & WIDE (4E) WIDTH,5495,US M 10 + more,0,False,
adidas women Duramo SL 2.0 Running Shoes,3900,US W 6 + more,6500,True,
Kizik Women’s Athens 2 Mole Brown Size 9,6898,US W 9,1000,False,
Palm Angels Logo Cream/White Lace-Up Skater Sneakers Size 41 (8M),21999,Palm Angels,1273,False,
HEELYS Adults Pro 20 Wheels Sneakers Shoes,6000,US M 13 + more,0,False,
US Fragment Travis Scott Air Jordan 1 Retro Low OG Sail Military DM7866-104 4-15,87599,US M 8.5 + more,1495,False,
Nike Air Jordan 6 Retro Reverse Infrared Salesman Jordan 6 2026 CT8529-001 Men's,18400,US M 7.5 + more,1495,False,
Adidas Ultraboost 1.0 DNA Triple Black SZ 8.5-13 Men's HQ4199,10995,US M 10 + more,1495,False,
Nike Air Presto Australia Size M,8000,Nike Air Presto,1495,False,
New Balance 990v4 Made in USA Grey Silver Men's U990GR4,11999,US M 10 + more,1495,True,
PUMA Inhale Lace Up  Mens White Sneakers Casual Shoes 40156013,2995,US M 8 + more,10000,True,
adidas men Grand Court Alpha Shoes,4000,US M 11.5 + more,8000,True,
Converse Cons Blue Mid Kentucky Denim White 1996 A16148C,15999,US M 12 + more,1495,False,
"Onitsuka Tiger Mexico 66 ""Black White"" 1183C102 001 Men's Size 5-13 New",12888,US M 9 + more,1495,False,
Adidas Originals x BAPE Campus 00S (Black/Off White/Gold) Men's Shoes KJ8851,13999,US M 8 + more,1495,False,
Nike Air Jordan 3 x Levi's Retro SP 'Black Denim' IR0914-400 Men's Sizes NEW,19994,US M 9 + more,21499,False,
Nike Shox TL OG White Silver AV3595-100 Men's Size 7.5-13 Brand New,9995,US M 12 + more,1495,False,
Nike Kobe 5 Protro Caitlin Clark Indiana Fever IM3207-400,25999,US M 7 + more,1495,False,
Nike Air Zoom Vapor Pro Low Top Tennise Shoes CZ0220-133 Men's White,10200,US M 13 + more,1495,False,
adidas women Barreda Decode Shoes,5700,US W 7 + more,8000,True,
"Nike Men's Court Vision Low Black/White Sneakers Shoes, HM9862-001",6500,US M 9 + more,0,False,
adidas women ULTRABOOST 1.0 SHOES,10300,US W 5.5 + more,18000,True,
Goodyear Skechers Shoes Men's  Zane Slip Resistant  Size 13 / 7 Hands Free,4900,US M 7 + more,500,False,
Proenza Schouler Track Sneakers Crinkled Metallic Silver/Ecru Sz 39 — NWB,34900,US W 8.5,1000,False,
Nike Dunk High Retro Size 10 Black/White,14599,Nike Dunk,1495,False,
Kizik Women’s Athens 2 Mole Brown Size 9,6898,US W 9,1000,False,
Louis Vuitton Time Out Low Top White Leather Trainers - Women’s Size 42 (US 11,80000,US W 11,1495,False,
NewUgg SALE !! US 7/EUR 39.5Hoyt Luxe Leather High Top Sneakers .,2200,US M 7,1099,False,
Hoka One One Men's Anacapa 2 GORE-TEX Mid Hiking,11999,US M 9 + more,1495,False,
"Nike Men's Court Vision Low NN White Sneakers Shoes, DH2987-100",6500,US M 8.5 + more,0,False,
adidas men Kaptir 4.0 Shoes,6300,US M 8 + more,0,True,
Nike ZoomX Dragonfly 2 Elite White Spruce Running Cleats Men's Size11 FZ9315-102,11000,Nike ZoomX,1495,False,
Adidas Vario Pure White Black W,,,,False,
Adidas Racer TR23 Solid Grey Blue Burst,,,,False,
Adidas Grand Court Alpha Shadow Navy White W,,,,False,
Adidas Daily 4.0 Clay Black,,,,False,
Adidas Run 60s 2.0 Crew Navy,,,,False,
Adidas Run 60s 2.0 Grey Carbon,,,,False,
Adidas Grand Court 2.0 White Black,,,,False,
adidas Japan Bright Royal,,,,False,
Adidas Lite Racer Adapt 7.0 Black Grey,,,,False,
Nike Court Vision Next Nature Low Triple White,,,,False,
adidas VL Court 3.0 Core White Bright Royal Dark Blue Gum,,,,False,
Nike Court Vision Next Nature Low Triple Black,,,,False,
Nike Court Vision Low Black White,,,,False,
Adidas Lite Racer Adapt 4.0 Black White,,,,False,
Puma Reflect Lite Trail PURE-TEX Black Cool Dark Grey,,,,False,
Adidas Duramo SL Black Solar Red,,,,False,
Puma Inhale Black Green Glare,,,,False,
Adidas Daily 3.0 Dove Grey,,,,False,
Nike Revolution 7 Black White,,,,False,
Adidas Runfalcon 5 Triple White,,,,False,
Men's Nike Air Max Plus TN 3 Durable  Anti-Slip Running Shoes in Black & Grey,7498,US M 8.5 + more,599,False,19+ sold
Air Force 1 '07 Men's Multi Size White/White CW2288-111 Fast Shipping,7998,US M 12 + more,1495,False,
adidas women ULTRABOOST 1.0 SHOES,10300,US W 5 + more,18000,True,
On Running Cloudnova Form 2 Black Ivory 3ME30151430 Mens New,11843,US M 8 + more,12599,False,
Brand New Nike Shox R4 Shoes Black Red Metallic Silver HQ1988-002 Men's Sizes,11999,US M 12 + more,1495,False,
Palm Angels University Low-Top Black/White Sneakers SIze 41 (8M),28999,Palm Angels,1273,False,
nike shoes,6000,Nike,1000,False,
Woman's Merrell Moab 3 Hiking Shoes Size 10 NEW,8499,US W 10,1400,False,
Nike Air Max 90 Men Shoe Running Sneaker Variant Color,6998,US M 8.5 + more,1399,False,7+ sold
NEW NIKE AIR FORCE 1 '07 LV8 WHITE /UNIVERSITY RED  DV0789-100,10800,US M 9.5 + more,1495,True,
Adidas Samba Classic White/Black/White [772109] Men's Sizes 6-11,5599,US M 8 + more,0,False,
Vans New SlipOn Classic Sneakers Unisex Canvas Shoes Men's/Women's,3999,US M 10.5 + more,894,False,
PUMA Court Ultra Lite Lace Up  Mens White Sneakers Casual Shoes 38937106,2995,US M 11 + more,6000,True,
adidas  Yeezy Quantum Lace Up  Mens Blue Sneakers Casual Shoes GZ8872,4995,US M 8.5 + more,25000,True,
"DVS Men's Enduro Heir Skate Shoe White/Black/Blue - DV01150004, White/Black/Blue",7600,US M 9.5 + more,,False,
Size 10.5 - Air Jordan 3 Retro Powder Blue,9000,Air Jordan,1495,False,
Mens Fila Original Fitness Sneakers,5999,US M 7 + more,0,False,
New Balance 530 Sneakers White/Natural Indigo 🔥SALE DEAL,6600,US M 7 + more,0,False,
Adidas NMD Racer Primeknit Solar Pink White Mens Running Shoes CQ2442,9999,US M 10 + more,1495,False,
Vans Old Skool 36 LX Pearlized Pack-Black Navy VN000E8VYA6 Ship Now,18700,US M 9.5 + more,1495,False,
NEW in Box Coach Unisex High Line Denim Blue Mens Sneaker Size 8,10990,US M 8,900,False,
James Hunter Vintage Sneakers Grey Mens Casual Size 12,5000,US W 12,0,False,
Kobe 8 protro Team bank Basketball FN0266601 University Red 6.5Y,9500,Kobe Bryant,1207,False,
Palm Angels Snow Slip-On Brown/Beige Sneakers Size 43 (10M),22499,Palm Angels,1273,False,
adidas kids Lite Racer Adapt 7.0 Shoes Kids,4200,US K 12 + more,6000,True,
Nike Air Force 1 Mid '07 All Triple Black Blackout Retro Classic Shoes NEW,15000,US M 9 + more,1495,False,
Brooks Men's Ghost 17 Running Shoes,9674,US M 12 + more,12093,False,
"Versace Men's Trigreca ""Sky+Multi-Color"" Leather Canvas Logo Sneakers Shoes",49999,US M 10 + more,1495,False,
S Sport By Skechers Men's Presley Sneakers,2399,US M 12 + more,5499,True,
Adidas FUTRO MIXR TRAINERS SHOES Running shoes IF1789 Unisex Size,8800,US M 10.5 + more,1495,False,
Ryka Women's Max Cushion Mesh Washable Sneakers-Glide Flintstone Blue,3999,US W 8 + more,0,False,
Ryka Mesh Walking Sneakers Frenzy Seafoam Green,3999,US W 10 + more,0,False,
VANS KNU SKOOL BLACK/WHITE SHOE,6375,US M 12 + more,7500,False,
*NEW* MEN Nike AIR MAX 270 BLACK / BLACK / BLACK (AH8050-005) 👍,11582,US M 9 + more,12321,False,
Nike Air Max Phenomena Loafers Women's Black IM8814-001,14700,US M 5.5 + more,1495,False,
New Balance 990v6 Made In USA MiUSA Workwear Grey Men's Shoe U990TN6 sz 5-12,11019,US M 5 + more,11599,False,
Nike Revolution 7 Black Off Noir Mens Running FB2207-005 NEW Multi Sz,3999,US M 9 + more,0,False,
Nike Air Jordan 4 Retro 'Lakers' Jordan 4 AJ4 Imperial Purple FV5029-500 Men's,26400,US M 8.5 + more,1495,False,
Nike Air Jordan 1 Low Grey White Sneakers Retro 553558-044 Mens Size,8995,US M 12 + more,1495,False,
Adidas Samba OG Trainers Black White Men�s Leather Sneakers B75807 ALL SIZES,7020,US M 9 + more,999,False,
adidas kids Falcon 3 Sport Lace Shoes,3200,US K 3.5 + more,5500,True,
Nike Dunk Low Retro MEN'S White Black Panda DD1391-100 Sneakers Shoes,6998,US M 9 + more,965,True,59+ sold
Nike Air Jordan 11 CMFT Low Barely Green Retro Sneakers CW0784-300,17900,US M 12 + more,1495,False,
adidas men Kaptir 4.0 Wide Shoes,6300,US M 8 + more,9000,True,
On Running Cloud 6 All Black 3MF10071043 Men's Size New,13399,US M 9 + more,1495,False,
AND1 Tai Chi LX Mens Shoes,5990,US M 9 + more,,False,
"adidas Yeezy Slide Dark ""Onyx"" ID5103 Black Slides Men's Sie 6-13 New",11499,US M 11 + more,1495,False,
adidas  Yeezy Quantum Lace Up  Mens Grey Sneakers Casual Shoes Q46473,9495,US M 17 + more,25000,True,
Air Jordan 38 Low Men Basketball Shoes FD2326 107,7697,US M 10.5 + more,1495,False,
